,arrival_icao,flight_number,status,departure_airport,scheduled_time,terminal,aircraft_model,airline,departure_icao,departure_iata
773,EDDL,EW 9827,Expected,Milan,2022-06-16 10:40:00+02:00,A,Airbus A320,Eurowings,LIMC,MXP
774,EDDL,EW 9801,Expected,Bergamo,2022-06-16 14:30:00+02:00,A,Airbus A319,Eurowings,LIME,BGY
775,EDDL,AZ 418,Expected,Milan,2022-06-16 10:00:00+02:00,B,Canadair Regional Jet CRJ-1000,Alitalia,LIML,LIN
776,EDDL,AZ 414,Expected,Milan,2022-06-16 16:40:00+02:00,B,Airbus A319,Alitalia,LIML,LIN
777,EDDL,EW 9835,Expected,Bologna,2022-06-16 21:40:00+02:00,A,Airbus A220-300,Eurowings,LIPE,BLQ
778,EDDL,EW 9811,Expected,Venice,2022-06-16 11:10:00+02:00,A,Airbus A319,Eurowings,LIPZ,VCE
779,EDDL,EW 9883,Expected,Rome,2022-06-16 12:55:00+02:00,A,Airbus A320-200 (sharklets),Eurowings,LIRF,FCO
780,EDDL,EW 9887,Expected,Rome,2022-06-16 21:40:00+02:00,A,Airbus A320-200 (sharklets),Eurowings,LIRF,FCO
781,EDDL,EW 9861,Expected,Nápoli,2022-06-16 16:20:00+02:00,A,Airbus A319,Eurowings,LIRN,NAP
782,EDDL,EW 9775,Expected,Prague,2022-06-16 17:35:00+02:00,A,Airbus A320,Eurowings,LKPR,PRG
783,EDDL,EW 4338,Expected,Salzburg,2022-06-16 20:10:00+02:00,A,Airbus A320,Eurowings,LOWS,SZG
784,EDDL,EW 9755,Expected,Vienna,2022-06-16 11:10:00+02:00,A,Airbus A220-300,Eurowings,LOWW,VIE
785,EDDL,OS 153,Expected,Vienna,2022-06-16 14:20:00+02:00,A,Embraer 195,Austrian,LOWW,VIE
786,EDDL,EW 9751,Expected,Vienna,2022-06-16 17:05:00+02:00,A,Airbus A319,Eurowings,LOWW,VIE
787,EDDL,OS 159,Expected,Vienna,2022-06-16 17:30:00+02:00,A,Airbus A320 (Sharklets),Austrian,LOWW,VIE
788,EDDL,EW 9643,Expected,Faro,2022-06-16 21:30:00+02:00,A,Airbus A320,Eurowings,LPFR,FAO
789,EDDL,EW 9601,Expected,Funchal,2022-06-16 21:00:00+02:00,A,Airbus A320,Eurowings,LPMA,FNC
790,EDDL,TP 542,Expected,Lisbon,2022-06-16 12:30:00+02:00,A,Embraer 190,TAP Air Portugal,LPPT,LIS
791,EDDL,TP 546,Expected,Lisbon,2022-06-16 16:55:00+02:00,A,Airbus A320-200,TAP Air Portugal,LPPT,LIS
792,EDDL,EW 9603,Expected,Lisbon,2022-06-16 20:50:00+02:00,A,Airbus A320-200 (sharklets),Eurowings,LPPT,LIS
793,EDDL,EW 9793,Expected,Bucharest,2022-06-16 16:10:00+02:00,C,Airbus A319,Eurowings,LROP,OTP
794,EDDL,EW 9743,Expected,Geneva,2022-06-16 10:20:00+02:00,A,Airbus A319,Eurowings,LSGG,GVA
795,EDDL,EW 9763,Expected,Zurich,2022-06-16 10:05:00+02:00,A,Airbus A220-300,Eurowings,LSZH,ZRH
796,EDDL,LH 5795,Expected,Zurich,2022-06-16 13:45:00+02:00,A,Embraer 190,Lufthansa,LSZH,ZRH
797,EDDL,LX 1018,Expected,Zurich,2022-06-16 13:45:00+02:00,A,Embraer 190,SWISS,LSZH,ZRH
798,EDDL,LH 5797,Expected,Zurich,2022-06-16 19:10:00+02:00,A,Airbus A320,Lufthansa,LSZH,ZRH
799,EDDL,LX 1026,Expected,Zurich,2022-06-16 19:10:00+02:00,A,Airbus A320,SWISS,LSZH,ZRH
800,EDDL,XC 4407,Expected,Antalya,2022-06-16 12:20:00+02:00,C,Airbus A320-200,Corendon Air,LTAI,AYT
801,EDDL,XQ 186,Expected,Antalya,2022-06-16 14:10:00+02:00,C,Boeing 737 MAX 8,SunExpress,LTAI,AYT
802,EDDL,PC 5011,Expected,Antalya,2022-06-16 16:35:00+02:00,C,Airbus A320-200,Pegasus,LTAI,AYT
803,EDDL,FH 193,Expected,Antalya,2022-06-16 17:00:00+02:00,C,Airbus A320-200,Freebird,LTAI,AYT
804,EDDL,XC 4409,Expected,Antalya,2022-06-16 18:20:00+02:00,C,Airbus A320-200,Corendon Air,LTAI,AYT
805,EDDL,XQ 182,Expected,Antalya,2022-06-16 18:00:00+02:00,C,Airbus A320-200,SunExpress,LTAI,AYT
806,EDDL,XQ 180,Expected,Antalya,2022-06-16 19:40:00+02:00,C,Boeing 737 MAX 8,SunExpress,LTAI,AYT
807,EDDL,XQ 184,Expected,Antalya,2022-06-16 20:20:00+02:00,C,Boeing 737-800 (winglets),SunExpress,LTAI,AYT
808,EDDL,XQ 748,Expected,Gaziantep,2022-06-16 19:40:00+02:00,C,Boeing 737-800 (winglets),SunExpress,LTAJ,GZT
809,EDDL,XC 5403,Expected,Kayseri,2022-06-16 19:45:00+02:00,C,Boeing 737-800 (winglets),Corendon Air,LTAU,ASR
810,EDDL,XQ 958,Expected,İzmir,2022-06-16 13:55:00+02:00,C,Boeing 737-800 (winglets),SunExpress,LTBJ,ADB
811,EDDL,XC 3545,Expected,İzmir,2022-06-16 17:45:00+02:00,C,Boeing 737-800 (winglets),Corendon Air,LTBJ,ADB
812,EDDL,XQ 988,Expected,İzmir,2022-06-16 17:35:00+02:00,C,Boeing 737-800 (winglets),SunExpress,LTBJ,ADB
813,EDDL,XC 4087,Expected,Dalaman,2022-06-16 16:05:00+02:00,C,Boeing 737-800 (winglets),Corendon Air,LTBS,DLM
814,EDDL,PC 1001,Expected,Istanbul,2022-06-16 12:15:00+02:00,C,Airbus A321-200,Pegasus,LTFJ,SAW
815,EDDL,TK 7740,Expected,Istanbul,2022-06-16 12:15:00+02:00,C,Boeing 737-800,Turkish,LTFJ,SAW
816,EDDL,PC 1003,Expected,Istanbul,2022-06-16 16:10:00+02:00,C,Boeing 737-800 (winglets),Pegasus,LTFJ,SAW
817,EDDL,TK 7730,Expected,Istanbul,2022-06-16 16:00:00+02:00,C,Boeing 737-800 (winglets),Turkish,LTFJ,SAW
818,EDDL,PC 1005,Expected,Istanbul,2022-06-16 19:40:00+02:00,C,Airbus A320-200,Pegasus,LTFJ,SAW
819,EDDL,TK 1525,Expected,Istanbul,2022-06-16 14:05:00+02:00,C,Airbus A321-200,Turkish,LTFM,IST
820,EDDL,TK 1527,Expected,Istanbul,2022-06-16 17:20:00+02:00,C,Airbus A330-200,Turkish,LTFM,IST
821,EDDL,TK 1529,Expected,Istanbul,2022-06-16 20:15:00+02:00,C,Airbus A321-200,Turkish,LTFM,IST
822,EDDL,JU 324,Expected,Belgrade,2022-06-16 19:50:00+02:00,C,Airbus A319,Air Serbia,LYBE,BEG
823,EDDL,EK 55,Expected,Dubai City,2022-06-16 13:25:00+02:00,C(5),Airbus A380-800,Emirates,OMDB,DXB
824,EDDL,EW 9151,Expected,Tbilisi,2022-06-16 21:50:00+02:00,C,Airbus A320,Eurowings,UGTB,TBS
825,EDDF,NZ 4213,Delayed,Hong Kong,2022-06-16 07:30:00+02:00,1,Airbus A340,Air New Zealand,VHHH,HKG
826,EDDF,4Y 1211,Expected,Kerkyra Island,2022-06-16 10:45:00+02:00,1,Airbus A320,Airbus Transport International,LGKR,CFU
827,EDDF,4Y 59,Expected,Salt Lake City,2022-06-16 10:10:00+02:00,1,Airbus A330-300,Airbus Transport International,KSLC,SLC
828,EDDF,4Y 65,Expected,Tampa,2022-06-16 10:10:00+02:00,1,Airbus A350-900,Airbus Transport International,KTPA,TPA
829,EDDF,A3 3081,Expected,Calgary,2022-06-16 10:55:00+02:00,1,Boeing 777-300ER,Aegean,CYYC,YYC
830,EDDF,AC 2994,Expected,Zagreb,2022-06-16 10:40:00+02:00,1,Airbus A320,Air Canada,LDZA,ZAG
831,EDDF,AC 9011,Expected,Barcelona,2022-06-16 10:10:00+02:00,1,Airbus A321,Air Canada,LEBL,BCN
832,EDDF,AC 9120,Expected,Berlin,2022-06-16 10:55:00+02:00,1,Airbus A321 NEO,Air Canada,EDDB,BER
833,EDDF,AC 9347,Expected,Munich,2022-06-16 10:00:00+02:00,1,Airbus A321,Air Canada,EDDM,MUC
834,EDDF,BT 5631,Expected,Bucharest,2022-06-16 10:15:00+02:00,2,Boeing 737-800,Air Baltic,LROP,OTP
835,EDDF,CA 6250,Expected,São Paulo,2022-06-16 10:50:00+02:00,1,Boeing 747-8,Air China LTD,SBGR,GRU
836,EDDF,AC 9568,Expected,Münster,2022-06-16 10:55:00+02:00,1,Canadair CRJ 900NG,Air Canada,EDDG,FMO
837,EDDF,AC 9619,Expected,Milan,2022-06-16 10:25:00+02:00,1,Airbus A319,Air Canada,LIMC,MXP
838,EDDF,H6 4115,Expected,Burgas,2022-06-16 10:05:00+02:00,2,Airbus A320,Bulgarian Air Charter,LBBG,BOJ
839,EDDF,LH 6793,Expected,Calgary,2022-06-16 10:55:00+02:00,1,Boeing 777-300ER,Lufthansa,CYYC,YYC
840,EDDF,LH 9419,Expected,Antalya,2022-06-16 10:35:00+02:00,1,Boeing 737-800,Lufthansa,LTAI,AYT
841,EDDF,LX 3600,Expected,Zurich,2022-06-16 10:35:00+02:00,1,Airbus A320,SWISS,LSZH,ZRH
842,EDDF,NH 5442,Expected,Barcelona,2022-06-16 10:10:00+02:00,1,Airbus A321,ANA,LEBL,BCN
